"Prey","AvocaPointNorth","CapeFoulwind","CapeFoulwindNWPlatform","CastlePointBoulders","CastlePointCave","CharlestonJoyceBay","FirstBay","IslandBayLabRocks","KaikouraPaine's","Leigh - Waterfall Rocks","LeighEchinodermReef","LeighGoatIslandReserve","LeighHarbour","LeighShadowRocks","LeighTabletopRocksandBoulders","LighthouseReef","LimestoneBayPoint","MatakitakiakupeCapePalliser","MemorialGardenRocks","OaroSouth","Opunake","PourereTuingaraPoint","Rangitoto Island - Whites Beach","Raramai","Red Beach - Whangaparaoa","RedBeachCliff","Takapuna","TapotupotuBayWest","TaurangaBayNorth","TaurangaHead","TaurangaHeadSWcorner","TaurangaHeadWest","TungutuPoint","WaikukuaBay-2","WaikukuBay","WardBeach","WhakatuPoint","WhangareiBaptistCamp"
"Diloma bicanaliculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"Diloma nigerrima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diloma zelandica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fossarina rimata",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haustrum scobina",NA,1,NA,NA,2,NA,NA,NA,NA,8,1,NA,NA,4,3,NA,NA,NA,NA,NA,1,NA,14,NA,NA,NA,NA,1,3,NA,NA,2,NA,NA,NA,NA,NA,NA
"Mytilus galloprovincialis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"Not Feeding",49,183,27,49,204,101,192,32,NA,953,62,NA,NA,75,254,3,301,120,507,56,39,190,103,44,35,1,NA,52,17,240,9,169,66,NA,NA,11,19,NA
"Notoacmea parviconoidea",NA,NA,NA,NA,1,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paratrophon patens",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Patelloida corticata",NA,NA,NA,1,NA,1,2,NA,NA,24,NA,NA,NA,4,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"Plaxiphora caelata",NA,NA,NA,NA,NA,1,1,NA,NA,6,1,NA,NA,2,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"Risellopsis varia",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"Siphonaria australis",2,NA,NA,2,2,NA,1,4,NA,24,2,NA,NA,NA,3,NA,2,NA,5,NA,2,6,4,NA,NA,NA,NA,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"Sypharochiton pelliserpentis",NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"Trimusculus conicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"Turbo smaragdus",2,1,NA,NA,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,2,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA
"UNID Diloma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNID Limpet",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNID Snail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"Zeacumantus subcarinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
